Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вид товара";Размеры;Толщина
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток от 60 мм";336.60;abs-plastik-prutok-ot-60-mm;1;1;;;;;;"ABS пластик пруток от 60 мм";"ABS пластик пруток от 60 мм";;;"<p>Акрилонитрилбутадиенстирол, АБС-пластик (химическая формула (C8H8)x&middot; (C4H6)y&middot;(C3H3N)z) &mdash; ударопрочная техническая термопластическаясмола на основе сополимераакрилонитрила с бутадиеном и стиролом (название пластика образовано из начальных букв наименований мономеров). Пропорции могут варьироваться от 15 до 35% акрилонитрила, 5 до 30% бутадиена и 40 да 60% стирола.</p>
<p>Диаметр от 60 до 120 мм<br />Длина: 1000 мм <br />Цвет: Бежевый</p>";screenshot_1.jpg;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист от 10 мм";1413.00;abs-plastik-list-ot-10-mm;1;1;;;;;;"ABS пластик лист от 10 мм";"ABS пластик лист от 10 мм";;;"<p>Акрилонитрилбутадиенстирол, АБС-пластик (химическая формула (C8H8)x&middot; (C4H6)y&middot;(C3H3N)z) &mdash; ударопрочная техническая термопластическаясмола на основе сополимераакрилонитрила с бутадиеном и стиролом (название пластика образовано из начальных букв наименований мономеров). Пропорции могут варьироваться от 15 до 35% акрилонитрила, 5 до 30% бутадиена и 40 да 60% стирола.</p>
<p>Толщина от 10 до 80 мм<br />Размер: 610x2000 мм <br />Цвет бежевый</p>
<p>&nbsp;</p>";858585.jpg;лист;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.60х1000";336.60;abs-plastik-prutok-d60h1000;1;0;;;;;;"ABS пластик пруток д.60х1000";"ABS пластик пруток д.60х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.70х1000";453.60;abs-plastik-prutok-d70h1000;1;0;;;;;;"ABS пластик пруток д.70х1000";"ABS пластик пруток д.70х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.80х1000";587.70;abs-plastik-prutok-d80h1000;1;0;;;;;;"ABS пластик пруток д.80х1000";"ABS пластик пруток д.80х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.90х1000";739.80;abs-plastik-prutok-d90h1000;1;0;;;;;;"ABS пластик пруток д.90х1000";"ABS пластик пруток д.90х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.100х1000";909.90;abs-plastik-prutok-d100h1000;1;0;;;;;;"ABS пластик пруток д.100х1000";"ABS пластик пруток д.100х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.110х1000";1097.10;abs-plastik-prutok-d110h1000;1;0;;;;;;"ABS пластик пруток д.110х1000";"ABS пластик пруток д.110х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик пруток д.120х1000";1301.40;abs-plastik-prutok-d120h1000;1;0;;;;;;"ABS пластик пруток д.120х1000";"ABS пластик пруток д.120х1000";;;;;пруток;;
"Конструкционный пластик/АБС пластик (ABS)";"ABS пластик лист 10х610х2000";1413.00;abs-plastik-list-10h610h2000;1;0;;;;;;"ABS пластик лист 10х610х2000";"ABS пластик лист 10х610х2000";;;;;лист;;
